epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.868,0.75235,2.10203,2.22241,1.1358,0.74415,0.66313,0.73524,0.62142,0.73623,0.65286,0.71567,0.56967,0.61835,1.88703,1.09054,1.04065,0.00332275,0.00332275,0.00332275
2,349.906,0.75188,1.90244,1.12237,1.10747,0.84061,0.72159,0.81639,0.66658,0.82492,0.71105,0.79303,0.60417,0.65801,1.93817,0.8246,1.08232,0.00661215,0.00661215,0.00661215
3,515.777,0.84937,2.14569,1.15286,1.17045,0.51623,0.34536,0.34254,0.23634,0.50699,0.32376,0.30894,0.18553,1.16683,3.37637,2.68538,1.55617,0.00985756,0.00985756,0.00985756
4,687.678,0.96717,2.41687,1.29538,1.25145,0.73341,0.58076,0.66894,0.50424,0.72626,0.57234,0.64873,0.44447,0.9456,2.52022,1.50754,1.37289,0.009802,0.009802,0.009802
5,853.738,0.92356,2.27557,1.13553,1.22454,0.75297,0.62778,0.70546,0.54359,0.74855,0.62378,0.69271,0.49794,0.86367,2.34208,1.1166,1.27411,0.009736,0.009736,0.009736
6,1014.66,0.88337,2.16234,1.02452,1.19912,0.85843,0.7182,0.8075,0.65182,0.84808,0.70669,0.78377,0.59584,0.72395,2.0201,0.84862,1.14817,0.00967,0.00967,0.00967
7,1170.91,0.85288,2.08486,0.93948,1.17552,0.81464,0.76444,0.838,0.69266,0.84402,0.72429,0.81514,0.63573,0.70175,1.98507,0.73309,1.11402,0.009604,0.009604,0.009604
8,1328.78,0.81808,2.01534,0.87724,1.14481,0.8295,0.75356,0.82544,0.6715,0.83158,0.73987,0.80297,0.61326,0.69998,1.94246,0.78325,1.1296,0.009538,0.009538,0.009538
9,1490.69,0.79793,1.93244,0.83246,1.13533,0.87888,0.7815,0.86312,0.72567,0.87348,0.77614,0.84427,0.67422,0.64884,1.77699,0.64187,1.08112,0.009472,0.009472,0.009472
10,1672.3,0.77706,1.87716,0.78535,1.12583,0.89289,0.79529,0.87102,0.72811,0.88874,0.77926,0.85057,0.67563,0.63755,1.74632,0.61796,1.08208,0.009406,0.009406,0.009406
11,1881.72,0.75664,1.87095,0.75477,1.11077,0.89758,0.81119,0.88074,0.74242,0.89716,0.78937,0.8636,0.68918,0.62932,1.7089,0.56513,1.06955,0.00934,0.00934,0.00934
12,2057.48,0.74612,1.79942,0.73577,1.09939,0.89233,0.81806,0.88425,0.75391,0.88649,0.8096,0.86871,0.70661,0.61017,1.65273,0.54664,1.05416,0.009274,0.009274,0.009274
13,2217.68,0.73704,1.7606,0.70249,1.09716,0.91831,0.81886,0.88922,0.75743,0.90948,0.81314,0.8739,0.70904,0.60199,1.62516,0.52652,1.0389,0.009208,0.009208,0.009208
14,2357.02,0.72583,1.74716,0.68626,1.0874,0.91002,0.83054,0.89973,0.7754,0.90146,0.82407,0.88482,0.71952,0.56916,1.57439,0.50913,1.02005,0.009142,0.009142,0.009142
